Pusgiwa Starry

iter: 268, loss: 11896.650391, content loss: 9929913.000000, style_loss: 494089.937500
iter: 269, loss: 11851.959961, content loss: 9906967.000000, style_loss: 490798.281250
iter: 270, loss: 11817.412109, content loss: 9866027.000000, style_loss: 490573.875000
iter: 271, loss: 11774.523438, content loss: 9818465.000000, style_loss: 489968.843750
iter: 272, loss: 11738.549805, content loss: 9800094.000000, style_loss: 487309.343750
iter: 273, loss: 11695.103516, content loss: 9758947.000000, style_loss: 485993.281250
iter: 274, loss: 11649.991211, content loss: 9729372.000000, style_loss: 483311.656250
iter: 275, loss: 11610.214844, content loss: 9686818.000000, style_loss: 482595.000000
iter: 276, loss: 11569.201172, content loss: 9676312.000000, style_loss: 478518.968750
iter: 277, loss: 11528.327148, content loss: 9620810.000000, style_loss: 478959.906250
iter: 278, loss: 11489.114258, content loss: 9590069.000000, style_loss: 477132.406250
iter: 279, loss: 11454.662109, content loss: 9546240.000000, style_loss: 477208.718750
iter: 280, loss: 11416.067383, content loss: 9533688.000000, style_loss: 473639.656250
iter: 281, loss: 11377.662109, content loss: 9493638.000000, style_loss: 472844.031250
iter: 282, loss: 11345.556641, content loss: 9460641.000000, style_loss: 472130.500000
iter: 283, loss: 11315.420898, content loss: 9438028.000000, style_loss: 470624.781250
iter: 284, loss: 11281.155273, content loss: 9406205.000000, style_loss: 469523.906250
iter: 285, loss: 11241.298828, content loss: 9377457.000000, style_loss: 467416.593750
iter: 286, loss: 11206.371094, content loss: 9340314.000000, style_loss: 466764.937500
iter: 287, loss: 11175.578125, content loss: 9311475.000000, style_loss: 465799.843750
iter: 288, loss: 11127.570312, content loss: 9266592.000000, style_loss: 464287.062500
iter: 289, loss: 11091.736328, content loss: 9244905.000000, style_loss: 461976.468750
iter: 290, loss: 11054.585938, content loss: 9207159.000000, style_loss: 461107.406250
iter: 291, loss: 11014.337891, content loss: 9169121.000000, style_loss: 459880.218750
iter: 292, loss: 10983.418945, content loss: 9145904.000000, style_loss: 458336.968750
